GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO_ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A024QZQ1	SIRT1	enables	GO:0001077	transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q923E4|ensembl:ENSMUSP00000112595	9606	Ensembl		F
UniProtKB	A0A024QZQ1	SIRT1	involved_in	GO:0000122	negative regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q923E4|ensembl:ENSMUSP00000112595	9606	Ensembl		P
UniProtKB	A0A024QZQ1	SIRT1	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q923E4|ensembl:ENSMUSP00000112595	9606	Ensembl		P
UniProtKB	A0A024R029	ABT1	involved_in	GO:0006357	regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9QYL7|ensembl:ENSMUSP00000045888	9606	Ensembl		P
UniProtKB	A0A024R087	hCG_36935	enables	GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR027758	9606	InterPro		F
UniProtKB	A0A024R087	hCG_36935	involved_in	GO:0006357	regulation of transcription from RNA polymerase II promoter	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR027758	9606	InterPro		P
UniProtKB	A0A024R0H6	PAF1	involved_in	GO:0000122	negative regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8K2T8|ensembl:ENSMUSP00000003529	9606	Ensembl		P
UniProtKB	A0A024R0H7	WDR77	involved_in	GO:0006357	regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q99J09|ensembl:ENSMUSP00000010278	9606	Ensembl		P
UniProtKB	A0A024R0I7	NHLH2	enables	GO:0001077	transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q64221|ensembl:ENSMUSP00000143362	9606	Ensembl		F
UniProtKB	A0A024R0I7	NHLH2	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q64221|ensembl:ENSMUSP00000143362	9606	Ensembl		P
UniProtKB	A0A024R0L4	ERF	involved_in	GO:0000122	negative regulation of transcription from RNA polymerase II promoter	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR032925	9606	InterPro		P
UniProtKB	A0A024R0L5	GSK3A	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q2NL51|ensembl:ENSMUSP00000071654	9606	Ensembl		P
UniProtKB	A0A024R0P6	FOSB	enables	GO:0001077	transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P13346|ensembl:ENSMUSP00000003640	9606	Ensembl		F
UniProtKB	A0A024R0P6	FOSB	involved_in	GO:0006357	regulation of transcription from RNA polymerase II promoter	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000837|InterPro:IPR029813	9606	InterPro		P
UniProtKB	A0A024R0P6	FOSB	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P13346|ensembl:ENSMUSP00000003640	9606	Ensembl		P
UniProtKB	A0A024R0Q5	PPP1R13L	involved_in	GO:0000122	negative regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q5I1X5|ensembl:ENSMUSP00000047839	9606	Ensembl		P
UniProtKB	A0A024R0R3	FOXA3	involved_in	GO:0006357	regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P35584|ensembl:ENSMUSP00000043173	9606	Ensembl		P
UniProtKB	A0A024R0R3	FOXA3	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P35584|ensembl:ENSMUSP00000043173	9606	Ensembl		P
UniProtKB	A0A024R0Y4	TADA2L	involved_in	GO:0006357	regulation of transcription from RNA polymerase II promoter	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR016827	9606	InterPro		P
UniProtKB	A0A024R120	TFCP2	enables	GO:0001077	transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9ERA0|ensembl:ENSMUSP00000009877	9606	Ensembl		F
UniProtKB	A0A024R120	TFCP2	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9ERA0|ensembl:ENSMUSP00000009877	9606	Ensembl		P
UniProtKB	A0A024R126	NR4A1	enables	GO:0004879	nuclear receptor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR003070|InterPro:IPR003071	9606	InterPro		F
UniProtKB	A0A024R168	NR4A3	enables	GO:0004879	nuclear receptor activity	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR003070|InterPro:IPR003072	9606	InterPro		F
UniProtKB	A0A024R1A7	ELK1	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A4GTP4|ensembl:ENSRNOP00000013522	9606	Ensembl		P
UniProtKB	A0A024R1F0	XBP1	enables	GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O35426|ensembl:ENSMUSP00000054852	9606	Ensembl		F
UniProtKB	A0A024R1F0	XBP1	involved_in	GO:0006990	positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O35426|ensembl:ENSMUSP00000054852	9606	Ensembl		P
UniProtKB	A0A024R1F0	XBP1	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O35426|ensembl:ENSMUSP00000054852	9606	Ensembl		P
UniProtKB	A0A024R1M5	ZNF278	enables	GO:0001077	transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9JMG9|ensembl:ENSMUSP00000050684	9606	Ensembl		F
UniProtKB	A0A024R1M5	ZNF278	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9JMG9|ensembl:ENSMUSP00000050684	9606	Ensembl		P
UniProtKB	A0A024R1N6	SOX10	enables	GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q04888|ensembl:ENSMUSP00000039466	9606	Ensembl		F
UniProtKB	A0A024R1N6	SOX10	enables	GO:0001190	transcriptional activator activity, RNA polymerase II transcription factor binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q04888|ensembl:ENSMUSP00000039466	9606	Ensembl		F
UniProtKB	A0A024R1N6	SOX10	enables	GO:0003705	transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q04888|ensembl:ENSMUSP00000039466	9606	Ensembl		F
UniProtKB	A0A024R1N6	SOX10	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q04888|ensembl:ENSMUSP00000039466	9606	Ensembl		P
UniProtKB	A0A024R1Q0	SREBF2	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q3U1N2|ensembl:ENSMUSP00000023100	9606	Ensembl		P
UniProtKB	A0A024R1V6	PCGF2	involved_in	GO:0000122	negative regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P23798|ensembl:ENSMUSP00000137517	9606	Ensembl		P
UniProtKB	A0A024R1Y8	FSTL3	involved_in	GO:0030514	negative regulation of BMP signaling pathway	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9EQC7|ensembl:ENSMUSP00000020575	9606	Ensembl		P
UniProtKB	A0A024R228	HNRPK	involved_in	GO:0006357	regulation of transcription from RNA polymerase II promoter	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR033090	9606	InterPro		P
UniProtKB	A0A024R274	SMAD4	enables	GO:0001076	transcription factor activity, RNA polymerase II transcription factor binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P97471|ensembl:ENSMUSP00000025393	9606	Ensembl		F
UniProtKB	A0A024R274	SMAD4	enables	GO:0001228	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P97471|ensembl:ENSMUSP00000025393	9606	Ensembl		F
UniProtKB	A0A024R274	SMAD4	involved_in	GO:0000122	negative regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P97471|ensembl:ENSMUSP00000025393	9606	Ensembl		P
UniProtKB	A0A024R274	SMAD4	involved_in	GO:0006357	regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P97471|ensembl:ENSMUSP00000025393	9606	Ensembl		P
UniProtKB	A0A024R274	SMAD4	involved_in	GO:0030509	BMP signaling pathway	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P97471|ensembl:ENSMUSP00000025393	9606	Ensembl		P
UniProtKB	A0A024R274	SMAD4	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P97471|ensembl:ENSMUSP00000025393	9606	Ensembl		P
UniProtKB	A0A024R2N7	AXUD1	enables	GO:0001228	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P59054|ensembl:ENSMUSP00000149214	9606	Ensembl		F
UniProtKB	A0A024R2N7	AXUD1	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P59054|ensembl:ENSMUSP00000149214	9606	Ensembl		P
UniProtKB	A0A024R2Q3	CTNNB1	involved_in	GO:0000122	negative regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q02248|ensembl:ENSMUSP00000007130	9606	Ensembl		P
UniProtKB	A0A024R2Q3	CTNNB1	involved_in	GO:0006357	regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q02248|ensembl:ENSMUSP00000007130	9606	Ensembl		P
UniProtKB	A0A024R2Q3	CTNNB1	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q02248|ensembl:ENSMUSP00000007130	9606	Ensembl		P
UniProtKB	A0A024R364	HESX1	enables	GO:0001078	transcriptional repressor activity, RNA polymerase II proximal promoter sequence-specific DNA binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q61658|ensembl:ENSMUSP00000041999	9606	Ensembl		F
UniProtKB	A0A024R364	HESX1	involved_in	GO:0000122	negative regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q61658|ensembl:ENSMUSP00000041999	9606	Ensembl		P
UniProtKB	A0A024R3C5	DRD2	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P61169|ensembl:ENSRNOP00000043759	9606	Ensembl		P
UniProtKB	A0A024R3F5	MIZF	enables	GO:0001078	transcriptional repressor activity, RNA polymerase II proximal promoter sequence-specific DNA binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8K1K9|ensembl:ENSMUSP00000149879	9606	Ensembl		F
UniProtKB	A0A024R3F5	MIZF	involved_in	GO:0000122	negative regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8K1K9|ensembl:ENSMUSP00000149879	9606	Ensembl		P
UniProtKB	A0A024R3J1	TRIM29	involved_in	GO:0000122	negative regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8R2Q0|ensembl:ENSMUSP00000034511	9606	Ensembl		P
UniProtKB	A0A024R3M5	FLI1	enables	GO:0001077	transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P26323|ensembl:ENSMUSP00000016231	9606	Ensembl		F
UniProtKB	A0A024R3M5	FLI1	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P26323|ensembl:ENSMUSP00000016231	9606	Ensembl		P
UniProtKB	A0A024R3R1	ARID4B	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2CG63|ensembl:ENSMUSP00000106163	9606	Ensembl		P
UniProtKB	A0A024R3T8	PARP1	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P27008|ensembl:ENSRNOP00000004232	9606	Ensembl		P
UniProtKB	A0A024R3U6	SATB2	enables	GO:0001077	transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q546B3|ensembl:ENSMUSP00000110057	9606	Ensembl		F
UniProtKB	A0A024R3U6	SATB2	involved_in	GO:0000122	negative regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8VI24|ensembl:ENSMUSP00000110057	9606	Ensembl		P
UniProtKB	A0A024R3U6	SATB2	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8VI24|ensembl:ENSMUSP00000110057	9606	Ensembl		P
UniProtKB	A0A024R3Y1	hCG_1643547	involved_in	GO:0030514	negative regulation of BMP signaling pathway	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O88273|ensembl:ENSMUSP00000049640	9606	Ensembl		P
UniProtKB	A0A024R3Y1	hCG_1643547	involved_in	GO:0038098	sequestering of BMP from receptor via BMP binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O88273|ensembl:ENSMUSP00000049640	9606	Ensembl		P
UniProtKB	A0A024R427	ALS2CR8	enables	GO:0001077	transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8VHI4|ensembl:ENSMUSP00000141169	9606	Ensembl		F
UniProtKB	A0A024R427	ALS2CR8	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8VHI4|ensembl:ENSMUSP00000141169	9606	Ensembl		P
UniProtKB	A0A024R440	STK16	enables	GO:0001077	transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P57760|ensembl:ENSRNOP00000026194	9606	Ensembl		F
UniProtKB	A0A024R440	STK16	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P57760|ensembl:ENSRNOP00000026194	9606	Ensembl		P
UniProtKB	A0A024R474	SLC11A1	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P41251|ensembl:ENSMUSP00000027368	9606	Ensembl		P
UniProtKB	A0A024R475	CUL3	involved_in	GO:0000122	negative regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9JLV5|ensembl:ENSMUSP00000130738	9606	Ensembl		P
UniProtKB	A0A024R475	CUL3	involved_in	GO:0006357	regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9JLV5|ensembl:ENSMUSP00000130738	9606	Ensembl		P
UniProtKB	A0A024R4A0	NCL	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P09405|ensembl:ENSMUSP00000027438	9606	Ensembl		P
UniProtKB	A0A024R4B7	TXNIP	involved_in	GO:0000122	negative regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8BG60|ensembl:ENSMUSP00000102710	9606	Ensembl		P
UniProtKB	A0A024R4D7	CTNNBIP1	involved_in	GO:0000122	negative regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9JJN6|ensembl:ENSMUSP00000030839	9606	Ensembl		P
UniProtKB	A0A024R4D7	CTNNBIP1	involved_in	GO:0060633	negative regulation of transcription initiation from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9JJN6|ensembl:ENSMUSP00000030839	9606	Ensembl		P
UniProtKB	A0A024R4E2	TARDBP	enables	GO:0001205	transcriptional activator activity, RNA polymerase II distal enhancer sequence-specific DNA binding	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q921F2|ensembl:ENSMUSP00000081142	9606	Ensembl		F
UniProtKB	A0A024R4E2	TARDBP	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000366	IEA	GO_REF:0000108	GO:0001205	9606	GOC		P
UniProtKB	A0A024R4E9	RERE	enables	GO:0001105	RNA polymerase II transcription coactivator activity	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q80TZ9|ensembl:ENSMUSP00000101307	9606	Ensembl		F
UniProtKB	A0A024R4E9	RERE	enables	GO:0001106	RNA polymerase II transcription corepressor activity	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q80TZ9|ensembl:ENSMUSP00000101307	9606	Ensembl		F
UniProtKB	A0A024R4E9	RERE	involved_in	GO:0000122	negative regulation of transcription from RNA polymerase II promoter	ECO:0000366	IEA	GO_REF:0000108	GO:0001106	9606	GOC		P
UniProtKB	A0A024R4E9	RERE	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000366	IEA	GO_REF:0000108	GO:0001105	9606	GOC		P
UniProtKB	A0A024R4F5	HFE2	involved_in	GO:0000122	negative regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q7TQ32|ensembl:ENSMUSP00000046659	9606	Ensembl		P
UniProtKB	A0A024R4F5	HFE2	involved_in	GO:0030509	BMP signaling pathway	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR033606	9606	InterPro		P
UniProtKB	A0A024R4F5	HFE2	involved_in	GO:0030509	BMP signaling pathway	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q7TQ32|ensembl:ENSMUSP00000046659	9606	Ensembl		P
UniProtKB	A0A024R4F5	HFE2	involved_in	GO:0030514	negative regulation of BMP signaling pathway	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q7TQ32|ensembl:ENSMUSP00000046659	9606	Ensembl		P
UniProtKB	A0A024R4F5	HFE2	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q7TQ32|ensembl:ENSMUSP00000046659	9606	Ensembl		P
UniProtKB	A0A024R534	MTA2	involved_in	GO:0000122	negative regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9R190|ensembl:ENSMUSP00000093959	9606	Ensembl		P
UniProtKB	A0A024R534	MTA2	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9R190|ensembl:ENSMUSP00000093959	9606	Ensembl		P
UniProtKB	A0A024R593	PPP2R5B	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q80W83|ensembl:ENSRNOP00000028542	9606	Ensembl		P
UniProtKB	A0A024R5Q5	ZNF496	involved_in	GO:0000122	negative regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q5SXI5|ensembl:ENSMUSP00000013262	9606	Ensembl		P
UniProtKB	A0A024R5Q6	MYEF2	enables	GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR034632	9606	InterPro		F
UniProtKB	A0A024R5Q6	MYEF2	involved_in	GO:0006357	regulation of transcription from RNA polymerase II promoter	ECO:0000366	IEA	GO_REF:0000108	GO:0000981	9606	GOC		P
UniProtKB	A0A024R5Q8	CTDSPL2	involved_in	GO:0030514	negative regulation of BMP signaling pathway	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8BG15|ensembl:ENSMUSP00000047543	9606	Ensembl		P
UniProtKB	A0A024R5Y2	MAP2K5	involved_in	GO:0000122	negative regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q62862|ensembl:ENSRNOP00000050528	9606	Ensembl		P
UniProtKB	A0A024R5Y2	MAP2K5	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q62862|ensembl:ENSRNOP00000050528	9606	Ensembl		P
UniProtKB	A0A024R5Z0	TCF12	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P51514|ensembl:ENSRNOP00000074384	9606	Ensembl		P
UniProtKB	A0A024R5Z3	SMAD3	involved_in	GO:0000122	negative regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P84025|ensembl:ENSRNOP00000037346	9606	Ensembl		P
UniProtKB	A0A024R5Z3	SMAD3	involved_in	GO:0000122	negative regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8BUN5|ensembl:ENSMUSP00000034973	9606	Ensembl		P
UniProtKB	A0A024R5Z3	SMAD3	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P84025|ensembl:ENSRNOP00000037346	9606	Ensembl		P
UniProtKB	A0A024R5Z3	SMAD3	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8BUN5|ensembl:ENSMUSP00000034973	9606	Ensembl		P
UniProtKB	A0A024R5Z5	GTF2A2	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O08950|ensembl:ENSRNOP00000068825	9606	Ensembl		P
UniProtKB	A0A024R610	NEO1	involved_in	GO:0030513	positive regulation of BMP signaling pathway	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR033024	9606	InterPro		P
UniProtKB	A0A024R638	EDNRB	involved_in	GO:0000122	negative regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P48302|ensembl:ENSMUSP00000126057	9606	Ensembl		P
UniProtKB	A0A024R657	ARID4A	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:F8VPQ2|ensembl:ENSMUSP00000035512	9606	Ensembl		P
UniProtKB	A0A024R6A3	PSEN1	involved_in	GO:0000122	negative regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P49769|ensembl:ENSMUSP00000098786	9606	Ensembl		P
UniProtKB	A0A024R6D7	JDP2	involved_in	GO:0006357	regulation of transcription from RNA polymerase II promoter	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000837|InterPro:IPR029819	9606	InterPro		P
UniProtKB	A0A024R6K3	SETD3	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q91WC0|ensembl:ENSMUSP00000066413	9606	Ensembl		P
UniProtKB	A0A024R6X7	hCG_2025835	involved_in	GO:0000122	negative regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9R0L1|ensembl:ENSMUSP00000048904	9606	Ensembl		P
UniProtKB	A0A024R6X7	hCG_2025835	involved_in	GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9R0L1|ensembl:ENSMUSP00000048904	9606	Ensembl		P
