TF	TG	has	has not	exact	rule
ELF1	ELF1		E74-like|E74 like|ets|ETS|RIA1|elf1|elf-1	true 	"ELF1,ELF1,MEF,E74-like|E74 like|ets|ETS|RIA1|elf1|elf-1,true "
ELF4	ELF4	MEF		true 	"ELF4,ELF4,MEF,,true "
	EREG	er|ep		true 	",EREG,er|ep,,true "
ERF	ERF	PE2|PE-2		true 	"ERF,ERF,PE2|PE-2,,true "
ERG	ERG		ERG|erg	true 	"ERG,ERG,,ERG|erg,true "
ESR2	ESR2	ErbB(\d+)?		true 	"ESR2,ESR2,ErbB(\d+)?,,true "
	FAM89B	MMTV|MTV		true 	",FAM89B,MMTV|MTV,,true "
	FASLG	SP-A		true 	",FASLG,SP-A,,true "
	FGF9	GAF		true 	",FGF9,GAF,,true "
FLI1	FLI1	sic1		true 	"FLI1,FLI1,sic1,,true "
FOXM1	FOXM1	INS|INS1|INS-1|HNF3B|HNF-3B|HNF-3 beta	HNF-3	true 	"FOXM1,FOXM1,INS|INS1|INS-1|HNF3B|HNF-3B|HNF-3 beta,HNF-3,true "
GATA3	GATA3	HDR		true 	"GATA3,GATA3,HDR,,true "
GATAD2B	GATAD2B	p68		true 	"GATAD2B,GATAD2B,p68,,true "
	GDI1	1A		true 	",GDI1,1A,,true "
	GLB1	lactase|EBP		true 	",GLB1,lactase|EBP,,true "
	GLUL	GS		true 	",GLUL,GS,,true "
	GSTM1	mu|mu-1|h-b		true 	",GSTM1,mu|mu-1|h-b,,true "
	HBEGF	DTS		true 	",HBEGF,DTS,,true "
HES1	HES1	HL		true 	"HES1,HES1,HL,,true "
HMX1	HMX1	H6		true 	"HMX1,HMX1,H6,,true "
	HSD11B1	HDL		true 	",HSD11B1,HDL,,true "
	IFIT3	IRF		true 	",IFIT3,IRF,,true "
IRF1 	IRF1 	MAR		true 	"IRF1 ,IRF1 ,MAR,,true "
	JUN		JUN|Jun|jun	true 	",JUN,,JUN|Jun|jun,true "
	KIAA0101	PAF		true 	",KIAA0101,PAF,,true "
	LBR	PMA|PHA		true 	",LBR,PMA|PHA,,true "
LBX1	LBX1	homeobox		true 	"LBX1,LBX1,homeobox,,true "
	LGALS4	GAL4|gal4|Gal4		true 	",LGALS4,GAL4|gal4|Gal4,,true "
	MAFK	p18|P18		true 	",MAFK,p18|P18,,true "
	MAPT	tau		true 	",MAPT,tau,,true "
	ME1	MES		true 	",ME1,MES,,true "
MITF	MITF	mi|mi*		true 	"MITF,MITF,mi|mi*,,true "
MIXL1	MIXL1	mix		true 	"MIXL1,MIXL1,mix,,true "
MLXIP	MLXIP	mir|mir*		true 	"MLXIP,MLXIP,mir|mir*,,true "
	MMRN1	ECM		true 	",MMRN1,ECM,,true "
	MTPN		mtpn	true 	",MTPN,,mtpn,true "
	MTRNR2L5	HN5		true 	",MTRNR2L5,HN5,,true "
	MUC2	MLP		true 	",MUC2,MLP,,true "
	NAPSA	kap		true 	",NAPSA,kap,,true "
	NAT9	EBS		true 	",NAT9,EBS,,true "
NEUROD1	NEUROD1	BETA2		true 	"NEUROD1,NEUROD1,BETA2,,true "
	NF1		neurofibromin	true 	",NF1,,neurofibromin,true "
	NFASC	NF		true 	",NFASC,NF,,true "
NR1I2	NR1I2	par-1|par-2|u-par		true 	"NR1I2,NR1I2,par-1|par-2|u-par,,true "
NR2C1	NR2C1		TR2|testicular	true 	"NR2C1,NR2C1,,TR2|testicular,true "
NR4A3	NR4A3	minor		true 	"NR4A3,NR4A3,minor,,true "
PBX1	PBX1	prl		true 	"PBX1,PBX1,prl,,true "
	PCNA	p130|cyclin|cycle		true 	",PCNA,p130|cyclin|cycle,,true "
	 PDIA6	P5		true 	", PDIA6,P5,,true "
PGR	PGR	PR2		true 	"PGR,PGR,PR2,,true "
PHF20	PHF20	novel zinc finger protein		true 	"PHF20,PHF20,novel zinc finger protein,,true "
PITX2	PITX2	arp1|arp-1!ARP1|ARP-1|Arp1|Arp-1|PTX-2|RS		true 	"PITX2,PITX2,arp1|arp-1!ARP1|ARP-1|Arp1|Arp-1|PTX-2|RS,,true "
	PLAU	ATF|tpa		true 	",PLAU,ATF|tpa,,true "
	PLXNA3	sex		true 	",PLXNA3,sex,,true "
	PNP	np		true 	",PNP,np,,true "
POU2F1	POU2F1		pou|oct1|oct-1|otf1|octamer|nf-a1|otf-1|oct 1	true 	"POU2F1,POU2F1,,pou|oct1|oct-1|otf1|octamer|nf-a1|otf-1|oct 1,true "
PPARG	PPARG	PGC		true 	"PPARG,PPARG,PGC,,true "
	PPY	PP		true 	",PPY,PP,,true "
	PRNP	PRP|PRIP		true 	",PRNP,PRP|PRIP,,true "
	PRRC2A	G2		true 	",PRRC2A,G2,,true "
	PSEN2	PS2		true 	",PSEN2,PS2,,true "
	RENBP	age		true 	",RENBP,age,,true "
	RHD	heart|rel|ring		true 	",RHD,heart|rel|ring,,true "
	RHD		blood|rhesus|antigen|rh	true 	",RHD,,blood|rhesus|antigen|rh,true "
RORC	RORC	mtor|m-tor|rptor|raptor|rp-tor|rap-tor		true 	"RORC,RORC,mtor|m-tor|rptor|raptor|rp-tor|rap-tor,,true "
	RRM1	r1		true 	",RRM1,r1,,true "
	RRP8		ribosomal	true 	",RRP8,,ribosomal,true "
	SEMA6A	via		true 	",SEMA6A,via,,true "
	SGCA	A2		true 	",SGCA,A2,,true "
	SGSM3	MAP		true 	",SGSM3,MAP,,true "
	SLC11A1	LSH		true 	",SLC11A1,LSH,,true "
	SLC13A2	mucin|member 2		true 	",SLC13A2,mucin|member 2,,true "
	SLC25A5	T2|T3|2F1		true 	",SLC25A5,T2|T3|2F1,,true "
	SLC3A2	heavy chain		true 	",SLC3A2,heavy chain,,true "
	SLC40A1	MTP1|MTP|member 3		true 	",SLC40A1,MTP1|MTP|member 3,,true "
	SLC7A1	err		true 	",SLC7A1,err,,true "
	SLC8A1	cnc		true 	",SLC8A1,cnc,,true "
	SLPI	alp		true 	",SLPI,alp,,true "
SMAD1	SMAD1	mad1		true 	"SMAD1,SMAD1,mad1,,true "
SMAD2	SMAD2	mad2		true 	"SMAD2,SMAD2,mad2,,true "
	SOAT1	stat		true 	",SOAT1,stat,,true "
SPI1	SPI1		spi1|spia|spi-1|spi-a|pu.1|sfpi1	true 	"SPI1,SPI1,,spi1|spia|spi-1|spi-a|pu.1|sfpi1,true "
	TCF23	out		true 	",TCF23,out,,true "
TCF4	TCF4	itf-2|itf2		true 	"TCF4,TCF4,itf-2|itf2,,true "
TFCP2	TFCP2	cp2		true 	"TFCP2,TFCP2,cp2,,true "
	TGFBR2		receptor|RII|R2|TbetaR-II 	true 	",TGFBR2,,receptor|RII|R2|TbetaR-II ,true "
	THAP9	th9		true 	",THAP9,th9,,true "
	TNC	gp		true 	",TNC,gp,,true "
	TNFRSF11A	RANKL		true 	",TNFRSF11A,RANKL,,true "
	TNFRSF12A	HPIP		true 	",TNFRSF12A,HPIP,,true "
	TNFSF14	light		true 	",TNFSF14,light,,true "
	TREH	TRE		true 	",TREH,TRE,,true "
	TXNRD1	tr		true 	",TXNRD1,tr,,true "
	TYMS	ts		true 	",TYMS,ts,,true "
	UBE2I 	p18		true 	",UBE2I ,p18,,true "
YY1	YY1	delta		true 	"YY1,YY1,delta,,true "
ZIC2	ZIC2	ku70|ku80		true 	"ZIC2,ZIC2,ku70|ku80,,true "
AR	AR	?AR			"AR,AR,?AR,,"
	LY6D	THB		true 	",LY6D,THB,,true "
