#Associated.Gene.Name	Synonyms	Official name	Entrez.Taxa.ID	Entrez.Gene.ID	UniProt.SwissProt.Accession	Ensembl.Gene.ID	GO:0140223.Annotations	GO:0140223.Evidence	GO:0003700.Annotations	GO:0003700.Evidence	GO:0003712.Annotations	GO:0003712.Evidence	GO:0043565.Annotations	GO:0043565.Evidence	GO:0006357.Annotations	GO:0006357.Evidence	GO:0000981.Annotations	GO:0000981.Evidence	DBD.present	Lovering_2021.present	ORFeome.present	Ravazi.present	Saeed.present	TFCat.present	animal_tfdb_homo_sapiens.present	animal_tfdb_Homo_sapiens_cofactors.present	animal_tfdb_Mus_musculus.present	animal_tfdb_Mus_musculus_cofactors.present	animal_tfdb_Rattus_norvegicus.present	animal_tfdb_Rattus_norvegicus_cofactors.present	TcoF_human.present	tcof_cotf_human.present	TcoF_mouse.present	tcof_cotf_mouse.present	jaspar_human.present	jaspar_mouse.present	jaspar_rat.present	lambert_2018.present	Vaquerizas.present	TFclass_human	TFclass_mouse	TFclass_rat	TFClass_classification_family_code	TFClass_classification_class_name
AHRR	KIAA1234 bHLHe77	Aryl hydrocarbon receptor repressor 	9606|10090|10116	57491|11624|498999	A9YTQ3|Q3U1U7|Q75NT5	ENSG00000063438|ENSMUSG00000021575|ENSRNOG00000014721	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:A9YTQ3,UniProtKB:Q3U1U7,UniProtKB:Q75NT5&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:A9YTQ3,UniProtKB:Q3U1U7,UniProtKB:Q75NT5&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:A9YTQ3,UniProtKB:Q3U1U7,UniProtKB:Q75NT5&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:A9YTQ3,UniProtKB:Q3U1U7,UniProtKB:Q75NT5&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	Lovering_2021	NA	Ravazi	Saeed	NA	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	NA	NA	NA	lambert_2018	NA	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.5	Basic helix-loop-helix factors (bHLH)
AIRE	PGA1 APS1	Autoimmune regulator 	9606|10090|10116	326|11634|294328	O43918|Q9Z0E3|D3ZV49	ENSG00000160224|ENSMUSG00000000731|ENSRNOG00000001213	NA	NA	NA	NA	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:O43918,UniProtKB:Q9Z0E3,UniProtKB:D3ZV49&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:O43918,UniProtKB:Q9Z0E3,UniProtKB:D3ZV49&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	NA	DBD	NA	ORFeome	Ravazi	Saeed	TFCat	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	NA	NA	TcoF_human	NA	TcoF_mouse	NA	NA	NA	NA	lambert_2018	Vaquerizas	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	5.3.1	SAND domain factors
AKNA	KIAA1968	Microtubule organization protein AKNA 	9606|10090|10116	80709|100182|362530	Q7Z591|Q80VW7|D3ZLV5	ENSG00000106948|ENSMUSG00000039158|ENSRNOG00000008005	NA	NA	NA	NA	NA	NA	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q7Z591,UniProtKB:Q80VW7,UniProtKB:D3ZLV5&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	NA	NA	NA	NA	NA	NA	NA	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	NA	NA	NA	lambert_2018	Vaquerizas	NA	NA	NA	NA	NA
ALX1	-	ALX homeobox protein 1 	9606|10090|10116	8092|216285|25401	Q15699|Q8C8B0|Q63087	ENSG00000180318|ENSMUSG00000036602|ENSRNOG00000004390	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q15699,UniProtKB:Q8C8B0,UniProtKB:Q63087&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q15699,UniProtKB:Q8C8B0,UniProtKB:Q63087&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q15699,UniProtKB:Q8C8B0,UniProtKB:Q63087&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q15699,UniProtKB:Q8C8B0,UniProtKB:Q63087&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	Lovering_2021	NA	Ravazi	Saeed	NA	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	NA	jaspar_mouse	NA	lambert_2018	Vaquerizas	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.3	Homeo domain factors
ALX3	-	Homeobox protein aristaless-like 3 	9606|10090|10116	257|11694|365900	O95076|O70137|F1LN97	ENSG00000156150|ENSMUSG00000014603|ENSRNOG00000018290	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:O95076,UniProtKB:O70137,UniProtKB:F1LN97&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:O95076,UniProtKB:O70137,UniProtKB:F1LN97&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:O95076,UniProtKB:O70137,UniProtKB:F1LN97&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:O95076,UniProtKB:O70137,UniProtKB:F1LN97&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	Lovering_2021	NA	Ravazi	Saeed	NA	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	jaspar_human	jaspar_mouse	NA	lambert_2018	Vaquerizas	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.3	Homeo domain factors
ALX4	FPP PFM KIAA1788	Homeobox protein aristaless-like 4	9606|10090|10116	60529|11695|296511	Q9H161|O35137|D3ZEM1	ENSG00000052850|ENSMUSG00000040310|ENSRNOG00000000008	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q9H161,UniProtKB:O35137,UniProtKB:D3ZEM1&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q9H161,UniProtKB:O35137,UniProtKB:D3ZEM1&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q9H161,UniProtKB:O35137,UniProtKB:D3ZEM1&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:Q9H161,UniProtKB:O35137,UniProtKB:D3ZEM1&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	Lovering_2021	NA	Ravazi	Saeed	NA	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	NA	jaspar_mouse	NA	lambert_2018	Vaquerizas	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.3	Homeo domain factors
ANKZF1	FLJ10415 ZNF744 Vms1	Ankyrin repeat and zinc finger domain-containing protein 1 	9606|10090	55139|52231	Q9H8Y5|Q80UU1	ENSG00000163516|ENSMUSG00000026199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TcoF_human	NA	TcoF_mouse	NA	NA	NA	NA	lambert_2018	Vaquerizas	NA	NA	NA	NA	NA
AP5Z1	SPG48 zeta	AP-5 complex subunit zeta-1 	9606|10090	9907|231855	O43299|Q3U829	ENSG00000242802|ENSMUSG00000039623	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TcoF_human	NA	TcoF_mouse	NA	NA	NA	NA	NA	Vaquerizas	NA	NA	NA	NA	NA
AR	AIS NR3C4 SMAX1 HUMARA	Androgen receptor 	9606|10090|10116	367|11835|24208	P10275|P19091|P15207	ENSG00000169083|ENSMUSG00000046532|ENSRNOG00000005639	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:P10275,UniProtKB:P19091,UniProtKB:P15207&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:P10275,UniProtKB:P19091,UniProtKB:P15207&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:P10275,UniProtKB:P19091,UniProtKB:P15207&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:P10275,UniProtKB:P19091,UniProtKB:P15207&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	DBD	Lovering_2021	ORFeome	Ravazi	Saeed	TFCat	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	jaspar_human	jaspar_mouse	NA	lambert_2018	Vaquerizas	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.1.1	Nuclear receptors with C4 zinc fingers
ARGFX	-	Arginine-fifty homeobox	9606	503582	A6NJG6	ENSG00000186103	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:A6NJG6&geneProductType=protein&goId=GO:0003700&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:A6NJG6&geneProductType=protein&goId=GO:0043565&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:A6NJG6&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:A6NJG6&geneProductType=protein&goId=GO:0000981&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0007750	NA	Lovering_2021	NA	NA	Saeed	NA	animal_tfdb_homo_sapiens	NA	NA	NA	NA	NA	TcoF_human	NA	NA	NA	jaspar_human	NA	NA	lambert_2018	Vaquerizas	TFclass_human.present	NA	NA	3.1.3	Homeo domain factors
ARHGAP35	GRF-1 p190ARhoGAP P190A KIAA1722 p190RhoGAP	Rho GTPase-activating protein 35 	9606|10090|10116	2909|232906|306400	Q9NRY4|Q91YM2|P81128	ENSG00000160007|ENSMUSG00000058230|ENSRNOG00000015852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ravazi	NA	NA	NA	animal_tfdb_Homo_sapiens_cofactors	NA	animal_tfdb_Mus_musculus_cofactors	NA	animal_tfdb_Rattus_norvegicus_cofactors	TcoF_human	NA	TcoF_mouse	NA	NA	NA	NA	lambert_2018	Vaquerizas	NA	NA	NA	NA	NA
ARID1A	B120 P270 C10rf4 BAF250 BAF250a	AT-rich interactive domain-containing protein 1A 	9606|10090|10116	8289|93760|297867	O14497|A2BH40|D4A3E3	ENSG00000117713|ENSMUSG00000007880|ENSRNOG00000006137	NA	NA	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:O14497,UniProtKB:A2BH40,UniProtKB:D4A3E3&geneProductType=protein&goId=GO:0003712&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000305	NA	NA	https://www.ebi.ac.uk/QuickGO/annotations?geneProductId=UniProtKB:O14497,UniProtKB:A2BH40,UniProtKB:D4A3E3&geneProductType=protein&goId=GO:0006357&goUsageRelationships=is_a&goUsage=descendants	https://www.ebi.ac.uk/QuickGO/term/ECO:0000269	NA	NA	NA	NA	NA	Ravazi	NA	NA	animal_tfdb_homo_sapiens	NA	animal_tfdb_Mus_musculus	NA	animal_tfdb_Rattus_norvegicus	NA	TcoF_human	NA	TcoF_mouse	NA	NA	NA	NA	NA	NA	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.7.1	ARID domain factors
