#: :filename=/home/mvazque2/.rbbt/tmp/tmp-542940535.Sheet1#:type=:double
#Associated.Gene.Name	Synonyms	Official name	Entrez.Taxa.ID	Entrez.Gene.ID	UniProt.SwissProt.Accession	Ensembl.Gene.ID	TFclass_human	TFclass_mouse	TFclass_rat	TFClass_classification_family_code	TFClass_classification_class_name
BHLHE40	DEC1 SHARP2 Clast5	Class E basic helix-loop-helix protein 40 	9606|10090|10116	8553|20893|79431	O14503|O35185|O35780	ENSG00000134107|ENSMUSG00000030103|ENSRNOG00000007152	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.4	Basic helix-loop-helix factors (bHLH)
BHLHE41	DEC2 SHARP-1 SHARP1	Class E basic helix-loop-helix protein 41 	9606|10090|10116	79365|79362|117095	Q9C0J9|Q99PV5|M0R3T6	ENSG00000123095|ENSMUSG00000030256|ENSRNOG00000048961	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.4	Basic helix-loop-helix factors (bHLH)
BNC1	HsT19447	Zinc finger protein basonuclin-1	9606|10090|10116	646|12173|365299	Q01954|O35914|F1LUF8	ENSG00000169594|ENSMUSG00000025105|ENSRNOG00000019770	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
BNC2	BSN2 FLJ20043	Zinc finger protein basonuclin-2	9606|10090|10116	54796|242509|298189	Q6ZN30|Q8BMQ3|D3ZZ22	ENSG00000173068|ENSMUSG00000028487|ENSRNOG00000006553	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
Borcs8	-	BLOC-1-related complex subunit 8	10090	72368	Q9D6Y4	ENSMUSG00000002345	NA	TFclass_mouse.present	NA	NA	NA
BSX	BSX1	Brain-specific homeobox protein homolog	9606|10090|10116	390259|244813|500982	Q3C1V8|Q810B3|D4A5F6	ENSG00000188909|ENSMUSG00000054360|ENSRNOG00000024438	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.2	Homeo domain factors
CASZ1	FLJ20321 ZNF693 castor cst SRG	Zinc finger protein castor homolog 1 	9606|10090|10116	54897|69743|313713	Q86V15|Q9CWL2|F1M0M0	ENSG00000130940|ENSMUSG00000028977|ENSRNOG00000013474	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
CDC5L	PCDC5RP hCDC5 CEF1 CDC5	Cell division cycle 5-like protein 	9606|10090|10116	988|71702|85434	Q99459|Q6A068|O08837	ENSG00000096401|ENSMUSG00000023932|ENSRNOG00000019975	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.1	Tryptophan cluster factors
CDX1	-	Homeobox protein CDX-1 	9606|10090|10116	1044|12590|364883	P47902|P18111|Q05095	ENSG00000113722|ENSMUSG00000024619|ENSRNOG00000060334	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
CDX2	-	Homeobox protein CDX-2 	9606|10090|10116	1045|12591|66019	Q99626|P43241|Q9ESV7	ENSG00000165556|ENSMUSG00000029646|ENSRNOG00000032759	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
CDX4	-	Homeobox protein CDX-4 	9606|10090|10116	1046|12592|302400	O14627|Q07424|D3ZF67	ENSG00000131264|ENSMUSG00000031326|ENSRNOG00000002974	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
CEBPA	C/EBP-alpha	CCAAT/enhancer-binding protein alpha 	9606|10090|10116	1050|12606|24252	P49715|P53566|P05554	ENSG00000245848|ENSMUSG00000034957|ENSRNOG00000010918	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.1.8	Basic leucine zipper factors (bZIP)
CEBPB	LAP CRP2 NFIL6 IL6DBP C/EBP-beta	CCAAT/enhancer-binding protein beta 	9606|10090|10116	1051|12608|24253	P17676|P28033|P21272	ENSG00000172216|ENSMUSG00000056501|ENSRNOG00000057347	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.1.8	Basic leucine zipper factors (bZIP)
CEBPD	CRP3 CELF C/EBP-delta NF-IL6-beta	CCAAT/enhancer-binding protein delta 	9606|10090|10116	1052|12609|25695	P49716|Q00322|Q03484	ENSG00000221869|ENSMUSG00000071637|ENSRNOG00000050869	TFclass_human.present	NA	TFclass_rat.present	1.1.8	Basic leucine zipper factors (bZIP)
CEBPE	CRP1	CCAAT/enhancer-binding protein epsilon 	9606|10090|10116	1053|110794|25410	Q15744|Q6PZD9|P56261	ENSG00000092067|ENSMUSG00000052435|ENSRNOG00000014282	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.1.8	Basic leucine zipper factors (bZIP)
CEBPG	GPE1BP IG/EBP-1	CCAAT/enhancer-binding protein gamma 	9606|10090|10116	1054|12611|25301	P53567|P53568|P26801	ENSG00000153879|ENSMUSG00000056216|ENSRNOG00000021144	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.1.8	Basic leucine zipper factors (bZIP)
CIC	KIAA0306	Protein capicua homolog	9606|10090|10116	23152|71722|308435	Q96RK0|Q924A2|D4A853	ENSG00000079432|ENSMUSG00000005442|ENSRNOG00000056118	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	4.1.1	High-mobility group (HMG) domain factors
CLOCK	KIAA0334 KAT13D bHLHe8	Circadian locomoter output cycles protein kaput 	9606|10090|10116|10090|10116	9575|12753|60447|18143|316351	O15516|O08785|Q9WVS9|P97460|F1MAG2	ENSG00000134852|ENSMUSG00000029238|ENSRNOG00000002175|ENSMUSG00000026077|ENSRNOG00000013408	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.5	Basic helix-loop-helix factors (bHLH)
CNOT4	CLONE243 NOT4H	CCR4-NOT transcription complex subunit 4 	9606|10090	4850|53621	O95628|Q8BT14	ENSG00000080802|ENSMUSG00000038784	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.8.4	C3H zinc finger factors
CRAMP1	KIAA1426	Protein cramped-like 	9606|10090	57585|57354	Q96RY5|Q6PG95	ENSG00000007545|ENSMUSG00000038002	TFclass_human.present	TFclass_mouse.present	NA	3.5.1	Tryptophan cluster factors
CREB1	-	Cyclic AMP-responsive element-binding protein 1 	9606|10090|10116	1385|12912|81646	P16220|Q01147|P15337	ENSG00000118260|ENSMUSG00000025958|ENSRNOG00000013412	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.1.7	Basic leucine zipper factors (bZIP)
CREB3	LZIP Luman sLZIP	Cyclic AMP-responsive element-binding protein 3 	9606|10090|10116	10488|12913|298400	O43889|Q61817|Q6P6G3	ENSG00000107175|ENSMUSG00000028466|ENSRNOG00000016452	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.1.7	Basic leucine zipper factors (bZIP)
CREB3L1	OASIS	Cyclic AMP-responsive element-binding protein 3-like protein 1 	9606|10090|10116	90993|26427|362165	Q96BA8|Q9Z125|Q66HA2	ENSG00000157613|ENSMUSG00000027230|ENSRNOG00000005413	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.1.7	Basic leucine zipper factors (bZIP)
CREB3L2	BBF2H7 TCAG_1951439	Cyclic AMP-responsive element-binding protein 3-like protein 2 	9606|10090|10116	64764|208647|362339	Q70SY1|Q8BH52|Q6QDP7	ENSG00000182158|ENSMUSG00000038648|ENSRNOG00000012826	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.1.7	Basic leucine zipper factors (bZIP)
